wordLength;wordCount;InsertTime(nano);SearchTime(nano);DeleteTime(nano)
7;100;3826.5;1321.418;2373.916
7;200;601.124;393.666;707.916
7;300;785.8340000000001;463.67;559.0833333333334
7;400;393.3945;232.918;394.0625
7;500;412.43359999999996;224.668;434.0168
7;600;360.80533333333335;220.5;386.56966666666665
7;700;425.1665714285714;414.748;508.09542857142856
7;800;217.85424999999998;220.75;384.60400000000004
7;900;217.40755555555555;235.58;383.12977777777775
7;1000;209.1584;227.998;184.96679999999998
7;1100;182.8561818181818;215.336;107.818
7;1200;176.04866666666666;143.666;101.46533333333333
7;1300;195.75015384615386;145.084;100.84599999999999
7;1400;156.57142857142858;118.418;103.631
7;1500;145.40546666666668;117.666;99.03893333333333
7;1600;178.52599999999998;122.5;99.802
7;1700;187.40211764705882;140.916;101.24023529411764
7;1800;139.31033333333335;126.332;100.27766666666666
7;1900;121.84663157894737;116.748;100.05273684210528
7;2000;165.2001;122.336;100.7291
7;2100;164.85704761904762;137.332;104.28580952380953
7;2200;161.62509090909091;141.668;96.97336363636363
7;2300;164.73547826086954;136.836;95.0615652173913
7;2400;168.191;143.666;97.0035
7;2500;161.3232;154.418;96.98671999999999
7;2600;249.984;158.498;108.59615384615384
7;2700;110.46296296296296;138.752;98.00925925925925
7;2800;184.75007142857143;148.918;96.98807142857142
7;2900;110.62924137931034;141.75;98.5201379310345
7;3000;203.81106666666665;229.498;131.58326666666667
7;3100;239.66935483870967;211.584;127.26606451612903
7;3200;133.572875;143.666;98.95568750000001
7;3300;125.59593939393939;142.584;104.3610303030303
7;3400;128.2059411764706;141.998;99.02694117647059
7;3500;154.40708571428573;146.336;97.812
7;3600;182.78238888888887;143.58;106.15277777777777
7;3700;108.52248648648649;142.416;98.85135135135135
7;3800;107.58547368421053;141.086;98.3398947368421
7;3900;113.9594358974359;142.084;98.73723076923078
7;4000;108.02085000000001;146.248;98.04585
7;4100;109.92682926829268;142.584;99.63819512195121
7;4200;111.04771428571429;154.416;99.70042857142857
7;4300;130.96711627906976;143.082;96.69953488372093
7;4400;200.71022727272728;137.75;100.76513636363636
7;4500;102.14448888888889;131.254;92.79066666666667
7;4600;136.57786956521738;133.584;94.93847826086956
7;4700;140.26068085106382;148.584;94.89178723404255
7;4800;144.49475;135.002;95.16316666666667
7;4900;146.75848979591836;135.418;95.65820408163266
7;5000;153.16664;157.664;112.83168
7;5100;201.7369019607843;130.584;114.90850980392158
7;5200;109.76757692307693;132.42;94.5865
7;5300;112.28928301886792;140.75;98.67294339622642
7;5400;120.52007407407407;187.336;100.81633333333332
7;5500;107.21210909090908;130.168;93.79087272727273
7;5600;109.44192857142858;134.25;94.95389285714286
7;5700;108.41519298245613;131.336;92.9999649122807
7;5800;143.75572413793103;130.75;93.88079310344827
7;5900;111.37569491525423;134.0;93.83894915254238
7;6000;108.04583333333333;131.336;98.80693333333333
7;6100;109.26639344262296;132.25;95.3387868852459
7;6200;108.05912903225806;132.418;96.2015806451613
7;6300;150.23809523809524;131.0;97.152126984127
7;6400;116.83331249999999;133.836;95.34765625
7;6500;114.00510769230769;139.498;99.91412307692309
7;6600;112.61112121212122;133.582;95.64139393939394
7;6700;113.53483582089552;136.504;96.22268656716417
7;6800;112.3345294117647;134.332;95.6335588235294
7;6900;148.7173623188406;135.0;100.31646376811594
7;7000;109.0226;134.5;95.4774
7;7100;108.39788732394366;135.166;96.32157746478873
7;7200;110.49191666666667;135.916;95.40741666666668
7;7300;114.4691506849315;164.25;97.54906849315068
7;7400;109.6227027027027;141.92;95.95716216216216
7;7500;110.8444;136.082;96.1656
7;7600;109.2851052631579;133.502;96.04057894736843
7;7700;113.16124675324674;137.418;97.35714285714286
7;7800;150.91130769230767;138.166;103.14958974358974
7;7900;112.85235443037975;138.666;99.30167088607594
7;8000;110.7;135.332;95.50522500000001
7;8100;111.91355555555556;135.834;98.23249382716048
7;8200;110.00914634146342;134.416;96.01321951219512
7;8300;130.27007228915664;132.0;96.90257831325302
7;8400;111.11011904761905;134.416;96.88390476190477
7;8500;114.8108;138.914;99.49021176470589
7;8600;118.7829534883721;160.168;101.21223255813953
7;8700;139.65131034482758;157.502;104.34675862068966
7;8800;112.58902272727273;134.914;97.464
7;8900;112.43166292134832;135.834;96.24155056179775
7;9000;112.07593333333334;137.748;97.25555555555556
7;9100;136.1510989010989;141.168;99.65107692307693
7;9200;144.18839130434782;277.168;112.15215217391305
7;9300;114.38529032258064;137.67;96.45068817204302
7;9400;126.71808510638297;184.0;103.8546170212766
7;9500;150.86404210526314;181.168;111.03593684210526
7;9600;131.54512499999998;181.584;115.26735416666668
7;9700;115.5859381443299;144.168;99.38659793814433
7;9800;196.1675306122449;246.0;156.38689795918367
7;9900;155.75927272727273;256.584;113.96127272727274
7;10000;114.86663999999999;142.502;100.5958
